#x (SS)	#y (QS)	#z (QQ)	#c (HS)	#T (K)
1.000000	0.000000	0.000000	0.000000	4.5
1.000000	0.000000	0.000000	0.000000	4.6
1.000000	0.000000	0.000000	0.000000	4.7
1.000000	0.000000	0.000000	0.000000	4.8
1.000000	0.000000	0.000000	0.000000	4.9
1.000000	0.000000	0.000000	0.000000	5.0
1.000000	0.000000	0.000000	0.000000	5.1
1.000000	0.000000	0.000000	0.000000	5.2
1.000000	0.000000	0.000000	0.000000	5.3
1.000000	0.000000	0.000000	0.000000	5.4
1.000000	0.000000	0.000000	0.000000	5.5
1.000000	0.000000	0.000000	0.000000	5.6
1.000000	0.000000	0.000000	0.000000	5.7
1.000000	0.000000	0.000000	0.000000	5.8
1.000000	0.000000	0.000000	0.000000	5.9
1.000000	0.000000	0.000000	0.000000	6.0
1.000000	0.000000	0.000000	0.000000	6.1
1.000000	0.000000	0.000000	0.000000	6.2
1.000000	0.000000	0.000000	0.000000	6.3
1.000000	0.000000	0.000000	0.000000	6.4
1.000000	0.000000	0.000000	0.000000	6.5
1.000000	0.000000	0.000000	0.000000	6.6
1.000000	0.000000	0.000000	0.000000	6.7
1.000000	0.000000	0.000000	0.000000	6.8
1.000000	0.000000	0.000000	0.000000	6.9
1.000000	0.000000	0.000000	0.000000	7.0
1.000000	0.000000	0.000000	0.000000	7.1
1.000000	0.000000	0.000000	0.000000	7.2
1.000000	0.000000	0.000000	0.000000	7.3
1.000000	0.000000	0.000000	0.000000	7.4
1.000000	0.000000	0.000000	0.000000	7.5
1.000000	0.000000	0.000000	0.000000	7.6
1.000000	0.000000	0.000000	0.000000	7.7
1.000000	0.000000	0.000000	0.000000	7.8
1.000000	0.000000	0.000000	0.000000	7.9
1.000000	0.000000	0.000000	0.000000	8.0
1.000000	0.000000	0.000000	0.000000	8.1
1.000000	0.000000	0.000000	0.000000	8.2
1.000000	0.000000	0.000000	0.000000	8.3
1.000000	0.000000	0.000000	0.000000	8.4
1.000000	0.000000	0.000000	0.000000	8.5
1.000000	0.000000	0.000000	0.000000	8.6
1.000000	0.000000	0.000000	0.000000	8.7
1.000000	0.000000	0.000000	0.000000	8.8
1.000000	0.000000	0.000000	0.000000	8.9
1.000000	0.000000	0.000000	0.000000	9.0
1.000000	0.000000	0.000000	0.000000	9.1
1.000000	0.000000	0.000000	0.000000	9.2
1.000000	0.000000	0.000000	0.000000	9.3
1.000000	0.000000	0.000000	0.000000	9.4
1.000000	0.000000	0.000000	0.000000	9.5
1.000000	0.000000	0.000000	0.000000	9.6
1.000000	0.000000	0.000000	0.000000	9.7
1.000000	0.000000	0.000000	0.000000	9.8
1.000000	0.000000	0.000000	0.000000	9.9
1.000000	0.000000	0.000000	0.000000	10.0
1.000000	0.000000	0.000000	0.000000	10.1
1.000000	0.000000	0.000000	0.000000	10.2
1.000000	0.000000	0.000000	0.000000	10.3
1.000000	0.000000	0.000000	0.000000	10.4
1.000000	0.000000	0.000000	0.000000	10.5
1.000000	0.000000	0.000000	0.000000	10.6
1.000000	0.000000	0.000000	0.000000	10.7
1.000000	0.000000	0.000000	0.000000	10.8
1.000000	0.000000	0.000000	0.000000	10.9
1.000000	0.000000	0.000000	0.000000	11.0
1.000000	0.000000	0.000000	0.000000	11.1
1.000000	0.000000	0.000000	0.000000	11.2
1.000000	0.000000	0.000000	0.000000	11.3
1.000000	0.000000	0.000000	0.000000	11.4
1.000000	0.000000	0.000000	0.000000	11.5
1.000000	0.000000	0.000000	0.000000	11.6
1.000000	0.000000	0.000000	0.000000	11.7
1.000000	0.000000	0.000000	0.000000	11.8
1.000000	0.000000	0.000000	0.000000	11.9
1.000000	0.000000	0.000000	0.000000	12.0
1.000000	0.000000	0.000000	0.000000	12.1
1.000000	0.000000	0.000000	0.000000	12.2
1.000000	0.000000	0.000000	0.000000	12.3
1.000000	0.000000	0.000000	0.000000	12.4
1.000000	0.000000	0.000000	0.000000	12.5
1.000000	0.000000	0.000000	0.000000	12.6
1.000000	0.000000	0.000000	0.000000	12.7
1.000000	0.000000	0.000000	0.000000	12.8
1.000000	0.000000	0.000000	0.000000	12.9
1.000000	0.000000	0.000000	0.000000	13.0
1.000000	0.000000	0.000000	0.000000	13.1
1.000000	0.000000	0.000000	0.000000	13.2
1.000000	0.000000	0.000000	0.000000	13.3
1.000000	0.000000	0.000000	0.000000	13.4
1.000000	0.000000	0.000000	0.000000	13.5
1.000000	0.000000	0.000000	0.000000	13.6
1.000000	0.000000	0.000000	0.000000	13.7
1.000000	0.000000	0.000000	0.000000	13.8
1.000000	0.000000	0.000000	0.000000	13.9
1.000000	0.000000	0.000000	0.000000	14.0
1.000000	0.000000	0.000000	0.000000	14.1
1.000000	0.000000	0.000000	0.000000	14.2
1.000000	0.000000	0.000000	0.000000	14.3
1.000000	0.000000	0.000000	0.000000	14.4
1.000000	0.000000	0.000000	0.000000	14.5
1.000000	0.000000	0.000000	0.000000	14.6
1.000000	0.000000	0.000000	0.000000	14.7
1.000000	0.000000	0.000000	0.000000	14.8
1.000000	0.000000	0.000000	0.000000	14.9
1.000000	0.000000	0.000000	0.000000	15.0
1.000000	0.000000	0.000000	0.000000	15.1
1.000000	0.000000	0.000000	0.000000	15.2
1.000000	0.000000	0.000000	0.000000	15.3
1.000000	0.000000	0.000000	0.000000	15.4
1.000000	0.000000	0.000000	0.000000	15.5
1.000000	0.000000	0.000000	0.000000	15.6
1.000000	0.000000	0.000000	0.000000	15.7
1.000000	0.000000	0.000000	0.000000	15.8
1.000000	0.000000	0.000000	0.000000	15.9
1.000000	0.000000	0.000000	0.000000	16.0
1.000000	0.000000	0.000000	0.000000	16.1
1.000000	0.000000	0.000000	0.000000	16.2
1.000000	0.000000	0.000000	0.000000	16.3
1.000000	0.000000	0.000000	0.000000	16.4
1.000000	0.000000	0.000000	0.000000	16.5
1.000000	0.000000	0.000000	0.000000	16.6
1.000000	0.000000	0.000000	0.000000	16.7
1.000000	0.000000	0.000000	0.000000	16.8
1.000000	0.000000	0.000000	0.000000	16.9
1.000000	0.000000	0.000000	0.000000	17.0
1.000000	0.000000	0.000000	0.000000	17.1
1.000000	0.000000	0.000000	0.000000	17.2
1.000000	0.000000	0.000000	0.000000	17.3
1.000000	0.000000	0.000000	0.000000	17.4
1.000000	0.000000	0.000000	0.000000	17.5
1.000000	0.000000	0.000000	0.000000	17.6
1.000000	0.000000	0.000000	0.000000	17.7
1.000000	0.000000	0.000000	0.000000	17.8
1.000000	0.000000	0.000000	0.000000	17.9
1.000000	0.000000	0.000000	0.000000	18.0
1.000000	0.000000	0.000000	0.000000	18.1
1.000000	0.000000	0.000000	0.000000	18.2
1.000000	0.000000	0.000000	0.000000	18.3
1.000000	0.000000	0.000000	0.000000	18.4
1.000000	0.000000	0.000000	0.000000	18.5
1.000000	0.000000	0.000000	0.000000	18.6
1.000000	0.000000	0.000000	0.000000	18.7
1.000000	0.000000	0.000000	0.000000	18.8
1.000000	0.000000	0.000000	0.000000	18.9
1.000000	0.000000	0.000000	0.000000	19.0
1.000000	0.000000	0.000000	0.000000	19.1
1.000000	0.000000	0.000000	0.000000	19.2
1.000000	0.000000	0.000000	0.000000	19.3
1.000000	0.000000	0.000000	0.000000	19.4
1.000000	0.000000	0.000000	0.000000	19.5
1.000000	0.000000	0.000000	0.000000	19.6
1.000000	0.000000	0.000000	0.000000	19.7
1.000000	0.000000	0.000000	0.000000	19.8
1.000000	0.000000	0.000000	0.000000	19.9
1.000000	0.000000	0.000000	0.000000	20.0
1.000000	0.000000	0.000000	0.000000	20.1
1.000000	0.000000	0.000000	0.000000	20.2
1.000000	0.000000	0.000000	0.000000	20.3
1.000000	0.000000	0.000000	0.000000	20.4
1.000000	0.000000	0.000000	0.000000	20.5
1.000000	0.000000	0.000000	0.000000	20.6
1.000000	0.000000	0.000000	0.000000	20.7
1.000000	0.000000	0.000000	0.000000	20.8
1.000000	0.000000	0.000000	0.000000	20.9
1.000000	0.000000	0.000000	0.000000	21.0
1.000000	0.000000	0.000000	0.000000	21.1
1.000000	0.000000	0.000000	0.000000	21.2
1.000000	0.000000	0.000000	0.000000	21.3
1.000000	0.000000	0.000000	0.000000	21.4
1.000000	0.000000	0.000000	0.000000	21.5
1.000000	0.000000	0.000000	0.000000	21.6
1.000000	0.000000	0.000000	0.000000	21.7
1.000000	0.000000	0.000000	0.000000	21.8
1.000000	0.000000	0.000000	0.000000	21.9
1.000000	0.000000	0.000000	0.000000	22.0
1.000000	0.000000	0.000000	0.000000	22.1
1.000000	0.000000	0.000000	0.000000	22.2
1.000000	0.000000	0.000000	0.000000	22.3
1.000000	0.000000	0.000000	0.000000	22.4
1.000000	0.000000	0.000000	0.000000	22.5
1.000000	0.000000	0.000000	0.000000	22.6
1.000000	0.000000	0.000000	0.000000	22.7
1.000000	0.000000	0.000000	0.000000	22.8
1.000000	0.000000	0.000000	0.000000	22.9
1.000000	0.000000	0.000000	0.000000	23.0
1.000000	0.000000	0.000000	0.000000	23.1
1.000000	0.000000	0.000000	0.000000	23.2
1.000000	0.000000	0.000000	0.000000	23.3
1.000000	0.000000	0.000000	0.000000	23.4
1.000000	0.000000	0.000000	0.000000	23.5
1.000000	0.000000	0.000000	0.000000	23.6
1.000000	0.000000	0.000000	0.000000	23.7
1.000000	0.000000	0.000000	0.000000	23.8
1.000000	0.000000	0.000000	0.000000	23.9
1.000000	0.000000	0.000000	0.000000	24.0
1.000000	0.000000	0.000000	0.000000	24.1
1.000000	0.000000	0.000000	0.000000	24.2
1.000000	0.000000	0.000000	0.000000	24.3
1.000000	0.000000	0.000000	0.000000	24.4
1.000000	0.000000	0.000000	0.000000	24.5
1.000000	0.000000	0.000000	0.000000	24.6
1.000000	0.000000	0.000000	0.000000	24.7
1.000000	0.000000	0.000000	0.000000	24.8
1.000000	0.000000	0.000000	0.000000	24.9
1.000000	0.000000	0.000000	0.000000	25.0
1.000000	0.000000	0.000000	0.000000	25.1
1.000000	0.000000	0.000000	0.000000	25.2
1.000000	0.000000	0.000000	0.000000	25.3
1.000000	0.000000	0.000000	0.000000	25.4
1.000000	0.000000	0.000000	0.000000	25.5
1.000000	0.000000	0.000000	0.000000	25.6
1.000000	0.000000	0.000000	0.000000	25.7
1.000000	0.000000	0.000000	0.000000	25.8
1.000000	0.000000	0.000000	0.000000	25.9
1.000000	0.000000	0.000000	0.000000	26.0
1.000000	0.000000	0.000000	0.000000	26.1
1.000000	0.000000	0.000000	0.000000	26.2
1.000000	0.000000	0.000000	0.000000	26.3
1.000000	0.000000	0.000000	0.000000	26.4
1.000000	0.000000	0.000000	0.000000	26.5
1.000000	0.000000	0.000000	0.000000	26.6
1.000000	0.000000	0.000000	0.000000	26.7
1.000000	0.000000	0.000000	0.000000	26.8
1.000000	0.000000	0.000000	0.000000	26.9
1.000000	0.000000	0.000000	0.000000	27.0
1.000000	0.000000	0.000000	0.000000	27.1
1.000000	0.000000	0.000000	0.000000	27.2
1.000000	0.000000	0.000000	0.000000	27.3
1.000000	0.000000	0.000000	0.000000	27.4
1.000000	0.000000	0.000000	0.000000	27.5
1.000000	0.000000	0.000000	0.000000	27.6
1.000000	0.000000	0.000000	0.000000	27.7
1.000000	0.000000	0.000000	0.000000	27.8
1.000000	0.000000	0.000000	0.000000	27.9
1.000000	0.000000	0.000000	0.000000	28.0
1.000000	0.000000	0.000000	0.000000	28.1
1.000000	0.000000	0.000000	0.000000	28.2
1.000000	0.000000	0.000000	0.000000	28.3
1.000000	0.000000	0.000000	0.000000	28.4
1.000000	0.000000	0.000000	0.000000	28.5
1.000000	0.000000	0.000000	0.000000	28.6
1.000000	0.000000	0.000000	0.000000	28.7
1.000000	0.000000	0.000000	0.000000	28.8
1.000000	0.000000	0.000000	0.000000	28.9
1.000000	0.000000	0.000000	0.000000	29.0
1.000000	0.000000	0.000000	0.000000	29.1
1.000000	0.000000	0.000000	0.000000	29.2
1.000000	0.000000	0.000000	0.000000	29.3
1.000000	0.000000	0.000000	0.000000	29.4
1.000000	0.000000	0.000000	0.000000	29.5
1.000000	0.000000	0.000000	0.000000	29.6
1.000000	0.000000	0.000000	0.000000	29.7
1.000000	0.000000	0.000000	0.000000	29.8
1.000000	0.000000	0.000000	0.000000	29.9
1.000000	0.000000	0.000000	0.000000	30.0
1.000000	0.000000	0.000000	0.000000	30.1
1.000000	0.000000	0.000000	0.000000	30.2
1.000000	0.000000	0.000000	0.000000	30.3
1.000000	0.000000	0.000000	0.000000	30.4
1.000000	0.000000	0.000000	0.000000	30.5
1.000000	0.000000	0.000000	0.000000	30.6
1.000000	0.000000	0.000000	0.000000	30.7
1.000000	0.000000	0.000000	0.000000	30.8
1.000000	0.000000	0.000000	0.000000	30.9
1.000000	0.000000	0.000000	0.000000	31.0
1.000000	0.000000	0.000000	0.000000	31.1
1.000000	0.000000	0.000000	0.000000	31.2
1.000000	0.000000	0.000000	0.000000	31.3
1.000000	0.000000	0.000000	0.000000	31.4
1.000000	0.000000	0.000000	0.000000	31.5
1.000000	0.000000	0.000000	0.000000	31.6
1.000000	0.000000	0.000000	0.000000	31.7
1.000000	0.000000	0.000000	0.000000	31.8
1.000000	0.000000	0.000000	0.000000	31.9
1.000000	0.000000	0.000000	0.000000	32.0
1.000000	0.000000	0.000000	0.000000	32.1
1.000000	0.000000	0.000000	0.000000	32.2
1.000000	0.000000	0.000000	0.000000	32.3
1.000000	0.000000	0.000000	0.000000	32.4
1.000000	0.000000	0.000000	0.000000	32.5
1.000000	0.000000	0.000000	0.000000	32.6
1.000000	0.000000	0.000000	0.000000	32.7
1.000000	0.000000	0.000000	0.000000	32.8
1.000000	0.000000	0.000000	0.000000	32.9
1.000000	0.000000	0.000000	0.000000	33.0
1.000000	0.000000	0.000000	0.000000	33.1
1.000000	0.000000	0.000000	0.000000	33.2
1.000000	0.000000	0.000000	0.000000	33.3
1.000000	0.000000	0.000000	0.000000	33.4
1.000000	0.000000	0.000000	0.000000	33.5
1.000000	0.000000	0.000000	0.000000	33.6
1.000000	0.000000	0.000000	0.000000	33.7
1.000000	0.000000	0.000000	0.000000	33.8
1.000000	0.000000	0.000000	0.000000	33.9
1.000000	0.000000	0.000000	0.000000	34.0
1.000000	0.000000	0.000000	0.000000	34.1
1.000000	0.000000	0.000000	0.000000	34.2
1.000000	0.000000	0.000000	0.000000	34.3
1.000000	0.000000	0.000000	0.000000	34.4
1.000000	0.000000	0.000000	0.000000	34.5
1.000000	0.000000	0.000000	0.000000	34.6
1.000000	0.000000	0.000000	0.000000	34.7
1.000000	0.000000	0.000000	0.000000	34.8
1.000000	0.000000	0.000000	0.000000	34.9
1.000000	0.000000	0.000000	0.000000	35.0
1.000000	0.000000	0.000000	0.000000	35.1
1.000000	0.000000	0.000000	0.000000	35.2
1.000000	0.000000	0.000000	0.000000	35.3
1.000000	0.000000	0.000000	0.000000	35.4
1.000000	0.000000	0.000000	0.000000	35.5
1.000000	0.000000	0.000000	0.000000	35.6
1.000000	0.000000	0.000000	0.000000	35.7
1.000000	0.000000	0.000000	0.000000	35.8
1.000000	0.000000	0.000000	0.000000	35.9
1.000000	0.000000	0.000000	0.000000	36.0
1.000000	0.000000	0.000000	0.000000	36.1
1.000000	0.000000	0.000000	0.000000	36.2
1.000000	0.000000	0.000000	0.000000	36.3
1.000000	0.000000	0.000000	0.000000	36.4
1.000000	0.000000	0.000000	0.000000	36.5
1.000000	0.000000	0.000000	0.000000	36.6
1.000000	0.000000	0.000000	0.000000	36.7
1.000000	0.000000	0.000000	0.000000	36.8
1.000000	0.000000	0.000000	0.000000	36.9
1.000000	0.000000	0.000000	0.000000	37.0
1.000000	0.000000	0.000000	0.000000	37.1
1.000000	0.000000	0.000000	0.000000	37.2
1.000000	0.000000	0.000000	0.000000	37.3
1.000000	0.000000	0.000000	0.000000	37.4
1.000000	0.000000	0.000000	0.000000	37.5
1.000000	0.000000	0.000000	0.000000	37.6
1.000000	0.000000	0.000000	0.000000	37.7
1.000000	0.000000	0.000000	0.000000	37.8
1.000000	0.000000	0.000000	0.000000	37.9
1.000000	0.000000	0.000000	0.000000	38.0
1.000000	0.000000	0.000000	0.000000	38.1
1.000000	0.000000	0.000000	0.000000	38.2
1.000000	0.000000	0.000000	0.000000	38.3
1.000000	0.000000	0.000000	0.000000	38.4
1.000000	0.000000	0.000000	0.000000	38.5
1.000000	0.000000	0.000000	0.000000	38.6
1.000000	0.000000	0.000000	0.000000	38.7
1.000000	0.000000	0.000000	0.000000	38.8
1.000000	0.000000	0.000000	0.000000	38.9
1.000000	0.000000	0.000000	0.000000	39.0
1.000000	0.000000	0.000000	0.000000	39.1
1.000000	0.000000	0.000000	0.000000	39.2
1.000000	0.000000	0.000000	0.000000	39.3
1.000000	0.000000	0.000000	0.000000	39.4
1.000000	0.000000	0.000000	0.000000	39.5
1.000000	0.000000	0.000000	0.000000	39.6
1.000000	0.000000	0.000000	0.000000	39.7
1.000000	0.000000	0.000000	0.000000	39.8
1.000000	0.000000	0.000000	0.000000	39.9
1.000000	0.000000	0.000000	0.000000	40.0
1.000000	0.000000	0.000000	0.000000	40.1
1.000000	0.000000	0.000000	0.000000	40.2
1.000000	0.000000	0.000000	0.000000	40.3
1.000000	0.000000	0.000000	0.000000	40.4
1.000000	0.000000	0.000000	0.000000	40.5
1.000000	0.000000	0.000000	0.000000	40.6
1.000000	0.000000	0.000000	0.000000	40.7
1.000000	0.000000	0.000000	0.000000	40.8
1.000000	0.000000	0.000000	0.000000	40.9
1.000000	0.000000	0.000000	0.000000	41.0
1.000000	0.000000	0.000000	0.000000	41.1
1.000000	0.000000	0.000000	0.000000	41.2
1.000000	0.000000	0.000000	0.000000	41.3
1.000000	0.000000	0.000000	0.000000	41.4
1.000000	0.000000	0.000000	0.000000	41.5
1.000000	0.000000	0.000000	0.000000	41.6
1.000000	0.000000	0.000000	0.000000	41.7
1.000000	0.000000	0.000000	0.000000	41.8
1.000000	0.000000	0.000000	0.000000	41.9
1.000000	0.000000	0.000000	0.000000	42.0
1.000000	0.000000	0.000000	0.000000	42.1
1.000000	0.000000	0.000000	0.000000	42.2
1.000000	0.000000	0.000000	0.000000	42.3
1.000000	0.000000	0.000000	0.000000	42.4
1.000000	0.000000	0.000000	0.000000	42.5
1.000000	0.000000	0.000000	0.000000	42.6
1.000000	0.000000	0.000000	0.000000	42.7
1.000000	0.000000	0.000000	0.000000	42.8
1.000000	0.000000	0.000000	0.000000	42.9
1.000000	0.000000	0.000000	0.000000	43.0
1.000000	0.000000	0.000000	0.000000	43.1
1.000000	0.000000	0.000000	0.000000	43.2
1.000000	0.000000	0.000000	0.000000	43.3
1.000000	0.000000	0.000000	0.000000	43.4
1.000000	0.000000	0.000000	0.000000	43.5
1.000000	0.000000	0.000000	0.000000	43.6
1.000000	0.000000	0.000000	0.000000	43.7
1.000000	0.000000	0.000000	0.000000	43.8
1.000000	0.000000	0.000000	0.000000	43.9
1.000000	0.000000	0.000000	0.000000	44.0
1.000000	0.000000	0.000000	0.000000	44.1
1.000000	0.000000	0.000000	0.000000	44.2
1.000000	0.000000	0.000000	0.000000	44.3
1.000000	0.000000	0.000000	0.000000	44.4
1.000000	0.000000	0.000000	0.000000	44.5
1.000000	0.000000	0.000000	0.000000	44.6
1.000000	0.000000	0.000000	0.000000	44.7
1.000000	0.000000	0.000000	0.000000	44.8
1.000000	0.000000	0.000000	0.000000	44.9
1.000000	0.000000	0.000000	0.000000	45.0
1.000000	0.000000	0.000000	0.000000	45.1
1.000000	0.000000	0.000000	0.000000	45.2
1.000000	0.000000	0.000000	0.000000	45.3
1.000000	0.000000	0.000000	0.000000	45.4
1.000000	0.000000	0.000000	0.000000	45.5
1.000000	0.000000	0.000000	0.000000	45.6
1.000000	0.000000	0.000000	0.000000	45.7
1.000000	0.000000	0.000000	0.000000	45.8
1.000000	0.000000	0.000000	0.000000	45.9
1.000000	0.000000	0.000000	0.000000	46.0
1.000000	0.000000	0.000000	0.000000	46.1
1.000000	0.000000	0.000000	0.000000	46.2
1.000000	0.000000	0.000000	0.000000	46.3
1.000000	0.000000	0.000000	0.000000	46.4
1.000000	0.000000	0.000000	0.000000	46.5
1.000000	0.000000	0.000000	0.000000	46.6
1.000000	0.000000	0.000000	0.000000	46.7
1.000000	0.000000	0.000000	0.000000	46.8
1.000000	0.000000	0.000000	0.000000	46.9
1.000000	0.000000	0.000000	0.000000	47.0
1.000000	0.000000	0.000000	0.000000	47.1
1.000000	0.000000	0.000000	0.000000	47.2
1.000000	0.000000	0.000000	0.000000	47.3
1.000000	0.000000	0.000000	0.000000	47.4
1.000000	0.000000	0.000000	0.000000	47.5
1.000000	0.000000	0.000000	0.000000	47.6
1.000000	0.000000	0.000000	0.000000	47.7
1.000000	0.000000	0.000000	0.000000	47.8
1.000000	0.000000	0.000000	0.000000	47.9
1.000000	0.000000	0.000000	0.000000	48.0
1.000000	0.000000	0.000000	0.000000	48.1
1.000000	0.000000	0.000000	0.000000	48.2
1.000000	0.000000	0.000000	0.000000	48.3
1.000000	0.000000	0.000000	0.000000	48.4
1.000000	0.000000	0.000000	0.000000	48.5
1.000000	0.000000	0.000000	0.000000	48.6
1.000000	0.000000	0.000000	0.000000	48.7
1.000000	0.000000	0.000000	0.000000	48.8
1.000000	0.000000	0.000000	0.000000	48.9
1.000000	0.000000	0.000000	0.000000	49.0
1.000000	0.000000	0.000000	0.000000	49.1
1.000000	0.000000	0.000000	0.000000	49.2
1.000000	0.000000	0.000000	0.000000	49.3
1.000000	0.000000	0.000000	0.000000	49.4
1.000000	0.000000	0.000000	0.000000	49.5
1.000000	0.000000	0.000000	0.000000	49.6
1.000000	0.000000	0.000000	0.000000	49.7
1.000000	0.000000	0.000000	0.000000	49.8
1.000000	0.000000	0.000000	0.000000	49.9
1.000000	0.000000	0.000000	0.000000	50.0
1.000000	0.000000	0.000000	0.000000	50.1
1.000000	0.000000	0.000000	0.000000	50.2
1.000000	0.000000	0.000000	0.000000	50.3
1.000000	0.000000	0.000000	0.000000	50.4
1.000000	0.000000	0.000000	0.000000	50.5
1.000000	0.000000	0.000000	0.000000	50.6
1.000000	0.000000	0.000000	0.000000	50.7
1.000000	0.000000	0.000000	0.000000	50.8
1.000000	0.000000	0.000000	0.000000	50.9
1.000000	0.000000	0.000000	0.000000	51.0
1.000000	0.000000	0.000000	0.000000	51.1
1.000000	0.000000	0.000000	0.000000	51.2
1.000000	0.000000	0.000000	0.000000	51.3
1.000000	0.000000	0.000000	0.000000	51.4
1.000000	0.000000	0.000000	0.000000	51.5
1.000000	0.000000	0.000000	0.000000	51.6
1.000000	0.000000	0.000000	0.000000	51.7
1.000000	0.000000	0.000000	0.000000	51.8
1.000000	0.000000	0.000000	0.000000	51.9
1.000000	0.000000	0.000000	0.000000	52.0
1.000000	0.000000	0.000000	0.000000	52.1
1.000000	0.000000	0.000000	0.000000	52.2
1.000000	0.000000	0.000000	0.000000	52.3
1.000000	0.000000	0.000000	0.000000	52.4
1.000000	0.000000	0.000000	0.000000	52.5
1.000000	0.000000	0.000000	0.000000	52.6
1.000000	0.000000	0.000000	0.000000	52.7
1.000000	0.000000	0.000000	0.000000	52.8
1.000000	0.000000	0.000000	0.000000	52.9
1.000000	0.000000	0.000000	0.000000	53.0
1.000000	0.000000	0.000000	0.000000	53.1
1.000000	0.000000	0.000000	0.000000	53.2
1.000000	0.000000	0.000000	0.000000	53.3
1.000000	0.000000	0.000000	0.000000	53.4
1.000000	0.000000	0.000000	0.000000	53.5
1.000000	0.000000	0.000000	0.000000	53.6
1.000000	0.000000	0.000000	0.000000	53.7
1.000000	0.000000	0.000000	0.000000	53.8
1.000000	0.000000	0.000000	0.000000	53.9
1.000000	0.000000	0.000000	0.000000	54.0
1.000000	0.000000	0.000000	0.000000	54.1
1.000000	0.000000	0.000000	0.000000	54.2
1.000000	0.000000	0.000000	0.000000	54.3
1.000000	0.000000	0.000000	0.000000	54.4
1.000000	0.000000	0.000000	0.000000	54.5
1.000000	0.000000	0.000000	0.000000	54.6
1.000000	0.000000	0.000000	0.000000	54.7
1.000000	0.000000	0.000000	0.000000	54.8
1.000000	0.000000	0.000000	0.000000	54.9
1.000000	0.000000	0.000000	0.000000	55.0
1.000000	0.000000	0.000000	0.000000	55.1
1.000000	0.000000	0.000000	0.000000	55.2
1.000000	0.000000	0.000000	0.000000	55.3
1.000000	0.000000	0.000000	0.000000	55.4
1.000000	0.000000	0.000000	0.000000	55.5
1.000000	0.000000	0.000000	0.000000	55.6
1.000000	0.000000	0.000000	0.000000	55.7
1.000000	0.000000	0.000000	0.000000	55.8
1.000000	0.000000	0.000000	0.000000	55.9
1.000000	0.000000	0.000000	0.000000	56.0
1.000000	0.000000	0.000000	0.000000	56.1
1.000000	0.000000	0.000000	0.000000	56.2
1.000000	0.000000	0.000000	0.000000	56.3
1.000000	0.000000	0.000000	0.000000	56.4
1.000000	0.000000	0.000000	0.000000	56.5
1.000000	0.000000	0.000000	0.000000	56.6
1.000000	0.000000	0.000000	0.000000	56.7
1.000000	0.000000	0.000000	0.000000	56.8
1.000000	0.000000	0.000000	0.000000	56.9
1.000000	0.000000	0.000000	0.000000	57.0
1.000000	0.000000	0.000000	0.000000	57.1
1.000000	0.000000	0.000000	0.000000	57.2
1.000000	0.000000	0.000000	0.000000	57.3
1.000000	0.000000	0.000000	0.000000	57.4
1.000000	0.000000	0.000000	0.000000	57.5
1.000000	0.000000	0.000000	0.000000	57.6
1.000000	0.000000	0.000000	0.000000	57.7
1.000000	0.000000	0.000000	0.000000	57.8
1.000000	0.000000	0.000000	0.000000	57.9
